SiteNumber	Type	LocationID	EffectiveDate	Region	DistrictOffice	State	StateName	County	CountyState	City	FacilityName	Ownership	Use	Owner	OwnerAddress	OwnerCSZ	OwnerPhone	Manager	ManagerAddress	ManagerCSZ	ManagerPhone	ARPLatitude	ARPLatitudeS	ARPLongitude	ARPLongitudeS	ARPMethod	ARPElevation	ARPElevationMethod	MagneticVariation	MagneticVariationYear	TrafficPatternAltitude	ChartName	DistanceFromCBD	DirectionFromCBD	LandAreaCoveredByAirport	BoundaryARTCCID	BoundaryARTCCComputerID	BoundaryARTCCName	ResponsibleARTCCID	ResponsibleARTCCComputerID	ResponsibleARTCCName	TieInFSS	TieInFSSID	TieInFSSName	AirportToFSSPhoneNumber	TieInFSSTollFreeNumber	AlternateFSSID	AlternateFSSName	AlternateFSSTollFreeNumber	NOTAMFacilityID	NOTAMService	ActivationDate	AirportStatusCode	CertificationTypeDate	FederalAgreements	AirspaceDetermination	CustomsAirportOfEntry	CustomsLandingRights	MilitaryJointUse	MilitaryLandingRights	InspectionMethod	InspectionGroup	LastInspectionDate	LastOwnerInformationDate	FuelTypes	AirframeRepair	PowerPlantRepair	BottledOxygenType	BulkOxygenType	LightingSchedule	BeaconSchedule	ATCT	UNICOMFrequencies	CTAFFrequency	SegmentedCircle	BeaconColor	NonCommercialLandingFee	MedicalUse	SingleEngineGA	MultiEngineGA	JetEngineGA	HelicoptersGA	GlidersOperational	MilitaryOperational	Ultralights	OperationsCommercial	OperationsCommuter	OperationsAirTaxi	OperationsGALocal	OperationsGAItin	OperationsMilitary	OperationsDate	AirportPositionSource	AirportPositionSourceDate	AirportElevationSource	AirportElevationSourceDate	ContractFuelAvailable	TransientStorage	OtherServices	WindIndicator	IcaoIdentifier	MinimumOperationalNetwork
50044.*A	AIRPORT	'4A2	8/12/21	AAL	NONE	AK	ALASKA	BETHEL	AK	ATMAUTLUAK	ATMAUTLUAK	PU	PU	ALASKA DOT&PF CENTRAL REGION	PO BOX 196900	"ANCHORAGE, AK 99519-6900"	    907-269-0760	JOSEPH LARAUX	PO BOX 505	"BETHEL, AK 99559"	  (907) 543-2498	60-52-04.4000N	219124.4000N	162-16-27.4000W	584187.4000W	E	19	S	18E	1985		BETHEL	0	NE	99	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	7/1/77	O		N	NO OBJECTION	N	N		Y	C	C	6292017	9251980		NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N		122.9	N	CG	N		0	0	0	0	0	0	0			500				12/31/16	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0				Y		N
50044.5*A	AIRPORT	'ATK	8/12/21	AAL	NONE	AK	ALASKA	NORTH SLOPE	AK	ATQASUK	ATQASUK EDWARD BURNELL SR MEML	PU	PU	NORTH SLOPE BOROUGH	BOX 69	"BARROW, AK 99723"	    907-852-2611	JACK FRANTZ	BOX 69	"BARROW, AK 99723"	  (907) 852-0489	70-28-01.6000N	253681.6000N	157-26-08.4000W	566768.4000W	E	101	S	13E	2020		CAPE LISBURNE	1	S		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	BRW	BARROW	907-852-2511	LC852-2511	FAI	FAIRBANKS	1-866-248-6516	ATK	Y	7/1/71	O		NGY	NOT ANALYZED	N	N	N	Y	F	C	6272021			NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N		122.9	Y	CG	N		0	0	0	0	0	0	0			500		30		12/31/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0				Y-L	PATQ	N
50053.*C	SEAPLANE BASE	'BNF	8/12/21	AAL	NONE	AK	ALASKA	WRANGELL-PETERSBURG	AK	BARANOF	BARANOF WARM SPRINGS FLOAT AND SEAPLANE FLOAT	PU	PU	CITY AND BOROUGH OF SITKA	"HARBORMASTER, 100 LINCOLN STREET"	"SITKA, AK 99835"	  (907) 747-3439	HARBORMASTER	"CITY AND BOROUGH OF SITKA, 100 LINCOLN STREET"	SITKA 99835	  (907) 747-3439	57-05-19.7730N	205519.7730N	134-49-59.3090W	485399.3090W	E	0	E	27E	1985		JUNEAU	0	SE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	SIT	SITKA	907-966-2221	1-800-478-6300	JNU	JUNEAU	1-866-297-2236	SIT	Y	12/1/50	O		N1	NO OBJECTION	N	N	N	N	S	C	5192018			NONE	NONE	NONE	NONE			N	122.8	122.8	N		N		0	0	0	0	0	0	0			250		50		12/31/17							CARGO	Y		N
50055.5*A	AIRPORT	'BTI	8/12/21	AAL	NONE	AK	ALASKA	UPPER YUKON	AK	BARTER ISLAND	BARTER ISLAND	PU	PU	NORTH SLOPE BOROUGH	PO BOX 69	"BARROW, AK 99723"	    907-852-2611	JACK FRANTZ	PO BOX 69	"BARROW, AK 99723"	  (907) 852-0489	70-06-47.2000N	252407.2000N	143-39-13.0000W	517153.0000W	E	55	S	18E	2020		POINT BARROW	1	NNE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	SCC	DEADHORSE	907-659-2505	LC659-2401	FAI	FAIRBANKS	1-866-248-6516	BTI	Y		O		N	NOT ANALYZED	N	N	N	N	S	S	6042020	1101991		NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N		122.8	Y	CG	N		0	0	0	0	0	0	0			2500		800	50	12/31/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0			CARGO	Y-L	PABA	N
50056.*C	SEAPLANE BASE	'BQV	8/12/21	AAL	NONE	AK	ALASKA	SKAGWAY-YAKUTAT	AK	BARTLETT COVE	BARTLETT COVE	PU	PU	NPS GLACIER BAY NATL PARK & PRES	NATL PARK SVC BOX 1781	"JUNEAU, AK 99801"		SUPERINTENDANT OF GLACIER BAY	P.O. BOX 140	"GUSTAVUS, AK 99826"	    907-697-2230	58-27-18.7480N	210438.7480N	135-53-06.6120W	489186.6120W	E	0	E	28E	1985		JUNEAU	0	NW		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	JNU	JUNEAU	907-586-7380	1-866-297-2236				JNU	Y	1/1/58	O			NO OBJECTION	N	N	N	N	S	C	5182018			NONE	NONE	NONE	NONE			N		122.5	N		N															12/31/17								Y		N
50056.5*A	AIRPORT	'Z47	8/12/21	AAL	NONE	AK	ALASKA	NOME	AK	BASIN CREEK	ENGSTROM FLD	PR	PU	ENGSTROM DREDGING CO	PO BOX 536	"NOME, AK 99762"	    907-443-2586	RON ENGSTROM	PO BOX 536	"NOME, AK 99762"	    907-443-2586	64-40-44.7250N	232844.7250N	165-17-57.1250W	595077.1250W	E	143	E	17E	1985		NOME	0	W		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	OME	NOME	LC 443-2291	1-800-478-8400	FAI	FAIRBANKS	1-866-248-6516	OME	Y	8/1/59	O			NO OBJECTION	N	N	N	Y	S	C	7202017			NONE	NONE	NONE	NONE			N		122.9	N		N												30			12/31/16	FAA OE/AAA	00:00.0	ADO	00:00.0				Y		N
50057.2*A	AIRPORT	'Z48	8/12/21	AAL	NONE	AK	ALASKA	KUSKOKWIM	AK	BEAR CREEK	BEAR CREEK 3	PU	PU	PUBLIC DOMAIN								63-34-17.7930N	228857.7930N	156-08-38.5820W	562118.5820W	E	740	E	23E	1985		MC GRATH	3	W		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	10/1/51	O			NOT ANALYZED	N	N	N	N	S	C	6112019			NONE	NONE	NONE	NONE			N		122.9	N		N											200		100		12/31/18							CARGO	N		N
50057.4*A	AIRPORT	'Z52	8/12/21	AAL	NONE	AK	ALASKA	ALEUTIAN ISLANDS	AK	BEAR LAKE	JOHNSONS LANDING	PU	PU	PUBLIC DOMAIN	P.O. BOX 1267	"KENAI, AK 99611"	   907-283-4117.	WARREN JOHNSON	P.O. BOX 1267	"KENAI, AK 99611"	    907-283-4117	56-02-12.0680N	201732.0680N	160-15-58.3390W	576958.3390W	E	130	E	18E	1985		KODIAK	1	S		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	CDB	COLD BAY	907-532-2466	1-800-478-7250	ENA	KENAI	1-866-864-1737	CDB	Y	2/1/72	O				N	N	N	N	S	S	8132020	3091972		NONE	NONE	NONE	NONE			N		122.9	N		N		2										200	100		12/31/19							CARGO	N		N
50058.*A	AIRPORT	'WBQ	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	BEAVER	BEAVER	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER RD.	"FAIRBANKS, AK 99709"	  (907) 451-5280	SCOTT RANDBY	2301 PEGER RD	"FAIRBANKS, AK 99709"	  (907) 451-5280	66-21-44.0000N	238904.0000N	147-24-23.4000W	530663.4000W	E	364	S	24E	2005		FAIRBANKS	0	N	446	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	FAI	FAIRBANKS	907-474-0788	1-866-248-6516				FAI	Y	11/1/49	O		NGS	NO OBJECTION	N	N	N		S	S	6062020			NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N		122.9	Y	CG	N		0	0	0	0	0	0	0			500	0	0		12/31/16	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0			CARGO	Y	PAWB	N
50060.2*C	SEAPLANE BASE	'Z59	8/12/21	AAL	NONE	AK	ALASKA	BETHEL	AK	BETHEL	BETHEL	PU	PU	PUBLIC DOMAIN								60-46-55.2910N	218815.2910N	161-44-35.2640W	582275.2640W	E	15	E	18E	1985		MC GRATH	0	S		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	7/1/67	O			NO OBJECTION	N	N	N	N	S	C	7022017		100  100LL	MINOR	MINOR	NONE	NONE			N		118.7	N		N		15													12/31/16							CARGO	Y		N
50061.1*A	AIRPORT	'BET	8/12/21	AAL	NONE	AK	ALASKA	BETHEL	AK	BETHEL	BETHEL	PU	PU	ALASKA DOT&PF CENTRAL REGION	PO BOX 196900	"ANCHORAGE, AK 99519-6900"	    907-269-0749	JOSEPH LARAUX	BOX 505	"BETHEL, AK 99559"	    907-543-2498	60-46-42.8000N	218802.8000N	161-50-13.8000W	582613.8000W	E	128	S	11E	2020		MC GRATH	3	SW	1056	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				BET	Y	11/1/58	O	I B S 04/2005	N	NO OBJECTION					F	F	3192020		100  100LLA    A1	MINOR	MINOR			SEE RMK	SS-SR	Y		118.7	Y	CG			96	7		7		2		4526		60874	1502	14735	240	6/30/21	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	CARGO	Y-L	PABE	N
50060.1*C	SEAPLANE BASE	'Z58	8/12/21	AAL	NONE	AK	ALASKA	BETHEL	AK	BETHEL	HANGAR LAKE	PU	PU	PUBLIC DOMAIN								60-48-16.1500N	218896.1500N	161-43-14.5000W	582194.5000W	E	23	E	18E	1985		MC GRATH	1	NE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	7/1/67	O			NO OBJECTION	N	N	N	Y	S	C	7022017		100  100LLA	MINOR	MINOR	NONE	NONE			N		118.7	N		N		19					2								12/31/16	ADO	00:00.0	ADO	00:00.0			CARGO	N		N
50062.*A	AIRPORT	'BTT	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	BETTLES	BETTLES	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER RD	"FAIRBANKS, AK 99709"	  (907) 451-5280	SCOTT RANDBY	2301 PEGER RD	"FAIRBANKS, AK 99709"	  (907) 451-5280	66-54-50.2000N	240890.2000N	151-31-44.6000W	545504.6000W	E	647	S	16E	2020		FAIRBANKS	0	N	1195	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	FAI	FAIRBANKS	907-474-0788	1-866-248-6516				BTT	Y	1/1/49	O		N	NO OBJECTION					C	S	6032020		100LLA1+  B					SEE RMK	SEE RMK	N		122.9	Y	CG			10	0	0	0	0	0	0			1000	1000	2000	150	12/31/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	CARGO	Y-L	PABT	N
50068.65*C	SEAPLANE BASE	'D71	8/12/21	AAL	NONE	AK	ALASKA	MATANUSKA-SUSITNA	AK	BIG LAKE	BEAVER LAKE	PU	PU	"STATE OF ALASKA, DNR"	550 W 7TH AVE SUITE 900	"ANCHORAGE, AK 99501-3577"	    907-269-8400	BILLY CRANFORD	"CRANFORD AVIATION OF ALASKA, 14772 WEST SHORELINE DR"	"WASILLA, AK 99623"	    907-892-7575	61-34-30.5000N	221670.5000N	149-50-51.6000W	539451.6000W	E	150	E				ANCHORAGE	4	NE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	5/1/03	O			NO OBJECTION					S	C	5162019	5132002								N	122.8	122.8	N				6									30	400			12/31/18	STATE	00:00.0	OWNER	00:00.0				N		N
50068.6*A	AIRPORT	'BGQ	8/12/21	AAL	NONE	AK	ALASKA	MATANUSKA-SUSITNA	AK	BIG LAKE	BIG LAKE	PU	PU	ALASKA DOT&PF CENTRAL REGION	PO BOX 196900	"ANCHORAGE, AK 99519-6900"	    907-269-0770	KYLER HYLTON	"289 INNER SPRING LOOP, DOT&PF CENTRAL REGION"	"PALMER, AK 99645"	    907-745-2159	61-32-04.8590N	221524.8590N	149-48-45.1740W	539325.1740W	E	162	S	15E	2025		ANCHORAGE	1	SE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	5/1/51	O		N	NO OBJECTION					F	C	9152020			MAJOR	MAJOR			SEE RMK	SS-SR	N		122.8	Y	CG			66	2	0	2	0	0	0				1500	8000		12/31/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE		Y-L	PAGQ	N
50068.69*C	SEAPLANE BASE	'6A7	8/12/21	AAL	NONE	AK	ALASKA	MATANUSKA-SUSITNA	AK	BIG LAKE	BROCKER LAKE	PU	PU	STATE OF AK DNR	"DEPT OF NATURAL RESOURCES, 550 W 7TH AVE STE 900"	"ANCHORAGE, AK 99501"	    907-269-8400					61-28-54.6200N	221334.6200N	149-46-23.6800W	539183.6800W	E	100	E				ANCHORAGE	3	SE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				ENA	N	5/1/06	O			NO OBJECTION					S	C	5152019	11092005								N		122.8					1										40	10		12/31/18	OWNER	00:00.0	OWNER	00:00.0				Y		N
50068.67*C	SEAPLANE BASE	'L95	8/12/21	AAL	NONE	AK	ALASKA	MATANUSKA-SUSITNA	AK	BIG LAKE	JONES LANDING	PU	PU	STATE OF AK DNR	550 W 7TH AVE  SUITE 900	"ANCHORAGE, AK 99652-3577"	    907-269-8400	ROBERT JONES	P.O. BOX 521016	"BIG LAKE, AK 99652"	    907-892-7369	61-33-17.1800N	221597.1800N	149-56-21.6100W	539781.6100W	E	180	E				ANCHORAGE	3	E		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	4/1/06	O			NO OBJECTION					S	C	5162019	10212005								N		122.8					1										60	100		12/31/18	OWNER	00:00.0	OWNER	00:00.0		TIE		Y		N
50068.78*A	AIRPORT	'Z91	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	BIRCH CREEK	BIRCH CREEK	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER RD	"FAIRBANKS, AK 99709"	  (907) 451-5280	SCOTT RANDBY	2301 PEGER RD	"FAIRBANKS, AK 99709"	  (907) 451-5280	66-16-28.1000N	238588.1000N	145-49-05.5000W	524945.5000W	E	439	S	30E	1985		FAIRBANKS	1	NNW	155	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		FAI	FAIRBANKS	907-474-0788	1-866-248-6516				FAI	N	9/1/80	O		N	NOT ANALYZED					C	C	6292021							SEE RMK	SS-SR	N		122.9	Y	CG			0	0	0	0	0	0	0			500	0	0		12/31/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	CARGO	Y-L		N
50069.*A	AIRPORT	'BCV	8/12/21	AAL	NONE	AK	ALASKA	ANCHORAGE	AK	BIRCHWOOD	BIRCHWOOD	PU	PU	ALASKA DOT&PF CENTRAL REGION	PO BOX 196900	"ANCHORAGE, AK 99519-6900"	  (907) 338-1466	KAYCE ELIASON	"5300 E. TUDOR ROAD, STATE OF ALASKA DOTPF CR"	"ANCHORAGE, AK 99507-1249"	    907-338-1466	61-24-57.9196N	221097.9196N	149-30-29.9021W	538229.9021W	E	83	S	19E	2010		ANCHORAGE	2	NW	196	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				BCV	Y	10/1/49	O		NGY	NO OBJECTION					F	C	9162020		100LL	MAJOR	MAJOR			SEE RMK	SS-SR	N		123	Y	CG			301	6	0	1	1	0	0				35044	35044	100	12/31/19	FAA	00:00.0	FAA	00:00.0		"HGR,TIE"	"CHTR,GLD,INSTR,RNTL"	Y-L	PABV	N
50070.*A	AIRPORT	'5BK	8/12/21	AAL	NONE	AK	ALASKA	FAIRBANKS NORTH STAR	AK	BLACK RAPIDS	BLACK RAPIDS	PU	PU	BUREAU OF LAND MGMT	P.O. BOX 147	"GLENALLEN, AK 99588"	    907-822-3217	BRENDA BECKER	P.O. BOX 147	"GLENALLEN, AK 99588"	    907-822-3217	63-32-06.5270N	228726.5270N	145-51-39.1900W	525099.1900W	E	2125	E	28E	1985		ANCHORAGE	0	N		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		FAI	FAIRBANKS	907-474-0788	1-866-248-6516				FAI	N	9/1/50	O			NO OBJECTION					S	S	8142020									N		122.9	N													10		50	50	12/31/19						TIE		N		N
50072.*A	AIRPORT	'BYA	8/12/21	AAL	NONE	AK	ALASKA	SOUTHEAST FAIRBANKS	AK	BOUNDARY	BOUNDARY	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER RD	"FAIRBANKS, AK 99709"	    907-451-2200	SAM JENNINGS	PO BOX 356	"TOK, AK 99780"	    907-883-5128	64-04-41.8900N	230681.8900N	141-06-48.1500W	508008.1500W	E	2940	E	31E	1985		DAWSON	0	W	45	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ORT	NORTHWAY	907-778-2219	1-800-478-6611	FAI	FAIRBANKS	1-866-248-6516	ORT	Y		O		N	NOT ANALYZED				Y	C	C	6182019	7141998								N		122.9	Y				0	0	0	0	0	0	0			100		150		12/31/18							CARGO	Y		N
50072.5*A	AIRPORT	'KTS	8/12/21	AAL	NONE	AK	ALASKA	NOME	AK	BREVIG MISSION	BREVIG MISSION	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER RD	"FAIRBANKS, AK 99701"	    907-451-2200	DARRIN OTTON	BOX 1048	"NOME, AK 99762"	    907-443-2500	65-19-52.8000N	235192.8000N	166-27-56.6000W	599276.6000W	E	38	S	09E	2020		NOME	0	E	344	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		OME	NOME	LC 443-2291	1-800-478-8400	FAI	FAIRBANKS	1-866-248-6516	KTS	Y		O		NGSY	NOT ANALYZED					C	C	7202017							SEE RMK	SS-SR	N		123	Y	CG			0	0	0	0	0	0	0			70				12/31/16	NGS	00:00.0	NGS	00:00.0				Y-L	PFKT	N
50073.1*A	AIRPORT	'BVK	8/12/21	AAL	NONE	AK	ALASKA	NORTHWEST ARCTIC	AK	BUCKLAND	BUCKLAND	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER ROAD	"FAIRBANKS, AK 99701"	    907-451-2200	ALVIN WERNEKE	PO BOX 55	"KOTZEBUE, AK 99752"	    907-442-3147	65-58-53.6000N	237533.6000N	161-08-56.9000W	580136.9000W	E	29	S	11E	2020		NOME	1	SW	184	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		OTZ	KOTZEBUE	907-442-3310	1-800-478-7460	FAI	FAIRBANKS	1-866-248-6516	BVK	Y		O		N	NO OBJECTION				Y	C	C	7042017	12311985						SEE RMK	SS-SR	N		122.9	Y	CG			1	0	0	0	0	0	0			4250				12/31/16	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	CARGO	Y-L	PABL	N
50078.*A	AIRPORT	'TTW	8/12/21	AAL	NONE	AK	ALASKA	MATANUSKA-SUSITNA	AK	CANTWELL	CANTWELL	PR	PU	BILL SIMMS	3851 CHINIAK BAY DRIVE	"ANCHORAGE, AK 99515"	    907-522-3355	RAY ATKINS	BOX 22	"CANTWELL, AK 99729"	    907-768-2143	63-23-28.3370N	228208.3370N	148-57-20.2190W	536240.2190W	E	2190	E	27E	1985		ANCHORAGE	0	N		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				TTW	N	10/1/50	O			NO OBJECTION					S	S	8132020		100LL							N		122.9	N				3									200	150	1500	500	12/31/19							CARGO	Y	PATW	N
50086.*C	SEAPLANE BASE	'Z71	8/12/21	AAL	NONE	AK	ALASKA	PRINCE OF WALES	AK	CAPE POLE	CAPE POLE	PR	PU	L.O.G. LOG CO.	CAPE POLE SEAPLANE BASE	"CAPE POLE, AK"						55-57-58.6440N	201478.6440N	133-47-48.1960W	481668.1960W	E	0	E	26E	1985		KETCHIKAN	0	W		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		SIT	SITKA	907-966-2221	1-800-478-6300	JNU	JUNEAU	1-866-297-2236	SIT	N	4/1/62	O			NO OBJECTION					S	C	8052018									N		122.9														0		0		12/31/17										N
50090.*A	AIRPORT	'CEM	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	CENTRAL	CENTRAL	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER RD	"FAIRBANKS, AK 99709"	    907-451-2200	TOM WILLIAMS	2301 PEGER ROAD	"FAIRBANKS, AK 99709"	    907-451-5276	65-34-26.2000N	236066.2000N	144-46-51.2000W	521211.2000W	E	936	S	20E	2015		DAWSON	0	NNE	97	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		FAI	FAIRBANKS	907-474-0788	1-866-248-6516				FAI	Y	9/1/47	O		N	NO OBJECTION				Y	C	C	6182019	9181990						SEE RMK	SS-SR	N		122.9	Y	CG			2	0	0	0	0	0	0			2500	1000	500		12/31/18	NGS	00:00.0	NGS	00:00.0		TIE	CARGO	Y-L	PACE	N
50092.*A	AIRPORT	'CIK	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	CHALKYITSIK	CHALKYITSIK	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER RD	"FAIRBANKS, AK 99709"	  (907) 451-5280	SCOTT RANDBY	2301 PEGER RD	"FAIRBANKS, AK 99709"	  (907) 451-5280	66-38-42.1000N	239922.1000N	143-44-23.6000W	517463.6000W	E	548	S	18E	2020		DAWSON	0	SW		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		FAI	FAIRBANKS	907-474-0788	1-866-248-6516				FAI	Y	9/1/58	O		N	NO OBJECTION					F	C	6292021	3121986						SEE RMK	SEE RMK	N		122.9	Y	CG			0	0	0	0	0	0	0			500		150		12/31/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0			CARGO	Y-L	PACI	N
50093.95*A	AIRPORT	'5CD	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	CHANDALAR CAMP	CHANDALAR SHELF	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER ROAD	"FAIRBANKS, AK 99709"	    907-451-2200	JEFF RUSSELL		"FAIRBANKS, AK 99709"	    907-451-2207	68-03-55.5820N	245035.5820N	149-34-47.0610W	538487.0610W	E	3222	E	28E	1985		FAIRBANKS	0	W		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		FAI	FAIRBANKS	907-474-0788	1-866-248-6516				FAI	Y	5/1/76	O		N	NO OBJECTION				Y	S	S	6052020			NONE	NONE	NONE	NONE			N		122.9	N				0	0	0	0	0	0	0			2500	1600	7200		12/31/19								Y		N
50094.3*A	AIRPORT	'WCR	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	CHANDALAR LAKE	CHANDALAR LAKE	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER RD	"FAIRBANKS, AK 99709"	    907-451-2200	JEFF RUSSELL	2301 PEGER RD	"FAIRBANKS, AK 99709"	    907-452-2207	67-30-16.2600N	243016.2600N	148-28-59.6000W	534539.6000W	E	1920	E	22E	2010		FAIRBANKS	0	N	211	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		FAI	FAIRBANKS	907-474-0788	1-866-248-6516				WCR	Y	8/1/58	O		N	NOT ANALYZED				Y	C	S	6062020									N		122.9	Y				0	0	0	0	0	0	0			100	100	100		12/31/19	ADO	00:00.0	ADO	00:00.0		TIE	CARGO	Y	PALR	N
50095.12*A	AIRPORT	'CFK	8/12/21	AAL	NONE	AK	ALASKA	BETHEL	AK	CHEFORNAK	CHEFORNAK	PU	PU	ALASKA DOT&PF CENTRAL REGION	PO BOX 196000	"ANCHORAGE, AK 99519-6900"	    907-269-0760	JOSEPH LARAUX	BOX 505	"BETHEL, AK 99559"	    907-543-2495	60-08-12.5000N	216492.5000N	164-16-44.6000W	591404.6000W	E	54	S	17E	1985		BETHEL	1	S		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	6/1/74	O		N					Y	S	C	7022017							SEE RMK	SEE RMK	N		122.7	Y	CG			0	0	0	0	0	0	0			2200	50			12/31/16	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0				Y-L	PACK	N
50095.7*A	AIRPORT	'C05	8/12/21	AAL	NONE	AK	ALASKA	VALDEZ-CORDOVA	AK	CHENEGA	CHENEGA BAY	PU	PU	ALASKA DOT&PF CENTRAL REGION	PO BOX 196900	"ANCHORAGE, AK 99519-6900"	  (907) 269-0783	SEAN MONTGOMERY/CARL HIGH	P. O. BOX 1327	"SOLDOTNA, AK 99669"	  (907) 262-2199	60-04-42.8200N	216282.8200N	147-59-41.0450W	532781.0450W	E	68	E	19E	2010		SEWARD	1	NE	123	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		JNU	JUNEAU	907-586-7380	1-866-297-2236				JNU	Y	9/1/94	O		NGY	NO OBJECTION					2	S	6272020	8021994						SEE RMK	SEE RMK	N		122.9	Y	CG			0	0	0	0	0	0	0							12/31/19	FAA	00:00.0	STATE	00:00.0				Y-L	PFCB	N
